date,viewminutes
2016-01-01,7864740
2016-02-01,5009760
2016-03-01,4702560
2016-04-01,8133180
2016-05-01,7443960
2016-06-01,6818760
2016-07-01,4987920
2016-09-01,3256440
2016-12-01,10812840
2017-01-01,9501540
2017-02-01,8707620
2017-03-01,10438980
2017-04-01,11668800
2017-06-01,7197720
2017-07-01,8666640
2017-12-01,28723680
2018-01-01,39310080
2018-02-01,43628400
2018-03-01,57771480
2018-04-01,51271380
2018-05-01,28907580
2018-06-01,24917220
2018-07-01,32557620
2018-08-01,45375840
2018-09-01,42228300
2019-02-01,91804500
2019-03-01,79069080
2019-04-01,114429660
2019-05-01,101974740
2019-06-01,108237060
2019-08-01,110166900
2019-10-01,144230940
2019-11-01,70197420
2019-12-01,87140160
2020-02-01,61609620
2020-04-01,227098920
2020-07-01,402642780
2020-08-01,445220220
2020-09-01,285258360
2020-10-01,257658060
2020-12-01,726428580
2021-01-01,1100753340
2021-02-01,1324179720
2021-03-01,1009158780
